# sdk/member-names.tsv — every method (M) and field (F) name the SDK declares.
#
# GENERATED by picodroid-core's `member_names_are_current` test
# (picodroid-core/src/native_handler/member_names.rs); do not edit by hand.
# Regenerate with
#     scripts/gen-api-contract.sh
# after adding, removing or renaming an SDK method or field.
#
# build_support/names.rs turns the rows (with the contract's member column)
# into the `m::` consts (one per name; value = the active shrink map's
# target under --shrink, the original otherwise) that Rust native dispatch,
# the JVM's builtin arms and the lifecycle upcalls match names through.
F	TYPE_TEXT_VARIATION_URI
F	T_BOOL
F	T_FLOAT
F	T_INT
F	T_LONG
F	T_REMOVED
F	T_STRING
F	VERSION
F	VERTICAL
F	VISIBLE
F	WHICH_NEGATIVE_INTERNAL
F	WHICH_NEUTRAL_INTERNAL
F	WHICH_POSITIVE_INTERNAL
F	WHITE
F	WRAP_CONTENT
F	YELLOW
F	accuracy
F	action
F	actionListener
F	adapter
F	address
F	alive
F	alpha
F	alphaTo
F	app
F	base
F	boundView
F	buttonCount
F	buttons
F	callable
F	checkedId
F	checkedItems
F	checkedMask
F	clearRequested
F	colorBackground
F	colorOnPrimary
F	colorOutline
F	colorPrimary
F	colorSurface
F	colorText
F	colorTextSecondary
F	connectTimeout
F	count
F	daemon
F	data
F	dateChangedListener
F	defaultHandler
F	doOutput
F	downEvent
F	duration
F	durationMs
F	editorActionListener
F	enabled
F	endAction
F	error
F	eventTime
F	fillColor
F	fixedLength
F	focusable
F	gradientEnd
F	gradientOrientation
F	gradientStart
F	gravity
F	handle
F	handler
F	hasGradient
F	headerCount
F	headerNames
F	headerValues
F	height
F	host
F	i2cId
F	id
F	indeterminate
F	instance
F	intVals
F	interpolatorCode
F	items
F	itemsJoined
F	itemsListener
F	keyCode
F	keys
F	lastSampleEvent
F	layoutParams
F	length
F	listMode
F	listener
F	longPressFired
F	longValsHi
F	longValsLo
F	maxRange
F	maxValue
F	message
F	method
F	minDelay
F	minValue
F	multiChoiceListener
F	n
F	name
F	nanos
F	nativeHandle
F	negativeListener
F	negativeText
F	neutralListener
F	neutralText
F	nextAutoId
F	nextId
F	onCheckedChangeListener
F	onClickListener
F	onFocusChangeListener
F	onItemClickListener
F	onItemSelectedListener
F	onKeyListener
F	onLongClickListener
F	onReadyListener
F	onSeekBarChangeListener
F	onSwipeListener
F	onTouchListener
F	onValueChangeListener
F	orientation
F	path
F	pin
F	poolSeq
F	port
F	pos
F	positiveListener
F	positiveText
F	priority
F	progress
F	protocol
F	queue
F	queued
F	radius
F	rawX
F	rawY
F	readTimeout
F	refreshListener
F	resolution
F	result
F	rotationTo
F	scaleXTo
F	scaleYTo
F	sensor
F	shutdown
F	spiId
F	startDelayMs
F	started
F	state
F	step
F	strVals
F	strokeColor
F	strokeWidth
F	tag
F	tags
F	target
F	targetClassName
F	text
F	timeChangedListener
F	timestamp
F	title
F	translationXTo
F	translationYTo
F	type
F	types
F	uartId
F	url
F	value
F	values
F	vendor
F	view
F	visibility
F	watcherCount
F	watchers
F	weight
F	width
F	workers
F	x
F	xTo
F	y
F	yTo
M	$values
M	abs
M	accept
M	access$000
M	access$100
M	access$1002
M	access$1100
M	access$302
M	access$402
M	access$502
M	access$602
M	access$700
M	access$802
M	access$902
M	accumulate
M	add
M	addAndGet
M	addItem
M	addRequestProperty
M	addTextChangedListener
M	addView
M	adopt0
M	afterTextChanged
M	alpha
M	animate
M	app
M	append
M	appendHeader
M	apply
M	applyTo
M	argb
M	arraycopy
M	atan2
M	available
M	await
M	awaitTermination
M	backgroundExecutor
M	beforeTextChanged
M	bindService
M	bindView
M	box
M	build
M	buildRequestHeaders
M	bytesToString
M	calibrate
M	call
M	cancel
M	ceil
M	check
M	checkDouble
M	checkHeader
M	checkIndex
M	checkKey
M	checkName
M	checkedPut
M	clamp
M	clampMs
M	clear
M	clearCheck
M	clearState
M	close
M	commit
M	compareAndSet
M	connect
M	contains
M	containsCrLf
M	convert
M	copyOf
M	cos
M	countDown
M	crc32
M	create
M	createNewFile
M	current
M	current0
M	currentKind0
M	currentThread
M	currentTimeMillis
M	d
M	debugPoolNodes
M	decode
M	decrementAndGet
M	delete
M	disconnect
M	dismiss
M	dispatchRunnable
M	doubleToString
M	e
M	edit
M	elapsedRealtimeNanos
M	encode
M	equals
M	execute
M	exists
M	exit0
M	exp
M	fill
M	findButton
M	finish
M	fireActionClick
M	fireButtonClick
M	fireCheckedChanged
M	fireClick
M	fireDateChanged
M	fireEditorAction
M	fireFocusChange
M	fireItemClick
M	fireItemSelected
M	fireKey
M	fireLongClick
M	fireProgressChanged
M	fireReady
M	fireRefresh
M	fireStep
M	fireSwipe
M	fireTextChanged
M	fireTimeChanged
M	fireTouch
M	fireTrackingTouch
M	floor
M	flush
M	gcCount
M	gcFreed
M	gcTimeNanos
M	get
M	getAbsolutePath
M	getAction
M	getAdapter
M	getAddress
M	getAll
M	getAlpha
M	getAndAdd
M	getAndDecrement
M	getAndIncrement
M	getAndSet
M	getBoolean
M	getBooleanExtra
M	getByAddress
M	getByName
M	getCheckedRadioButtonId
M	getChildAt
M	getChildCount
M	getConnectTimeout
M	getContentLength
M	getContentText
M	getContentTitle
M	getCount
M	getData
M	getDay
M	getDefaultSensor
M	getDefaultUncaughtExceptionHandler
M	getDisplay
M	getDouble
M	getDuration
M	getErrorStream
M	getEventTime
M	getFloat
M	getHeaderField
M	getHeaderFieldKey
M	getHeight
M	getHost
M	getHostAddress
M	getHour
M	getId
M	getInputStream
M	getInstance
M	getInt
M	getIntExtra
M	getIntent
M	getInterpolation
M	getIpAddress
M	getItem
M	getItemId
M	getJSONArray
M	getJSONObject
M	getKeyCode
M	getLayoutParams
M	getLeft
M	getLength
M	getLong
M	getMaxValue
M	getMaximumRange
M	getMinDelay
M	getMinValue
M	getMinute
M	getMonth
M	getName
M	getOnFocusChangeListener
M	getOnItemClickListener
M	getOnItemSelectedListener
M	getOutputStream
M	getPackageManager
M	getParent
M	getParentFile
M	getPath
M	getPort
M	getPriority
M	getProgress
M	getProtocol
M	getRawAddress
M	getRawX
M	getRawY
M	getReadTimeout
M	getRequestMethod
M	getRequestProperty
M	getResolution
M	getResponseCode
M	getResponseMessage
M	getRotation
M	getScaleX
M	getScaleY
M	getSelectedItemPosition
M	getSharedPreferences
M	getStartDelay
M	getStep
M	getString
M	getStringExtra
M	getSystemService
M	getTag
M	getTargetClassName
M	getText
M	getTop
M	getTranslationX
M	getTranslationY
M	getType
M	getURL
M	getUncaughtExceptionHandler
M	getValue
M	getVendor
M	getVisibility
M	getWidth
M	getX
M	getY
M	getYear
M	grow
M	has
M	hasExtra
M	hasFocus
M	hasSystemFeature
M	hash
M	hashCode
M	hide
M	i
M	incrementAndGet
M	indeterminate
M	indexOf
M	initStream
M	intValue
M	interrupt
M	interrupted
M	is24HourView
M	isAlive
M	isArray
M	isCancelled
M	isChecked
M	isConnected
M	isDaemon
M	isDirectory
M	isDone
M	isEnabled
M	isFile
M	isFocusable
M	isFocused
M	isIndeterminate
M	isInterrupted
M	isNull
M	isNullSentinel
M	isQueued
M	isShutdown
M	isTerminated
M	join
M	join0
M	joinItems
M	keyList
M	keySet
M	keys
M	lambda$new$0
M	lambda$track$0
M	lazySet
M	length
M	load
M	locate
M	locateOrAppend
M	log
M	log10
M	longValue
M	mainExecutor
M	make
M	makeText
M	max
M	merge
M	min
M	mkdir
M	mkdirs
M	names
M	nativeApply
M	nativeBind
M	nativeBindAdapter
M	nativeBoolValue
M	nativeCancel
M	nativeChild
M	nativeChildAt
M	nativeConnect
M	nativeContentLength
M	nativeCreate
M	nativeCreateIndeterminate
M	nativeCreateWithList
M	nativeCreateWithMax
M	nativeCreateWithText
M	nativeDisconnect
M	nativeDismiss
M	nativeDoubleValue
M	nativeGetProperty
M	nativeHeaderField
M	nativeHeaderFieldAt
M	nativeIntValue
M	nativeIsFocused
M	nativeKeyAt
M	nativeKind
M	nativeLastError
M	nativeLength
M	nativeListen
M	nativeLongValue
M	nativeNewArray
M	nativeNewObject
M	nativeParse
M	nativePerformItemClick
M	nativePoolNodes
M	nativePutBool
M	nativePutDouble
M	nativePutInt
M	nativePutLong
M	nativePutNode
M	nativePutNull
M	nativePutString
M	nativeQuote
M	nativeReadResponseCode
M	nativeRegisterActionClickListener
M	nativeRegisterButtonClickListener
M	nativeRegisterChangeListener
M	nativeRegisterCheckedChangeListener
M	nativeRegisterClickListener
M	nativeRegisterDateChangedListener
M	nativeRegisterEditorActionListener
M	nativeRegisterFocusChangeListener
M	nativeRegisterItemClickListener
M	nativeRegisterItemSelectedListener
M	nativeRegisterKeyListener
M	nativeRegisterLongClickListener
M	nativeRegisterPicker
M	nativeRegisterReadyListener
M	nativeRegisterRefreshListener
M	nativeRegisterSwipeListener
M	nativeRegisterTextChangedListener
M	nativeRegisterTimeChangedListener
M	nativeRegisterTouchListener
M	nativeRemove
M	nativeRemoveAt
M	nativeRequestFocus
M	nativeResolve
M	nativeResponseMessage
M	nativeSetAction
M	nativeSetAlpha
M	nativeSetBool
M	nativeSetDouble
M	nativeSetDuration
M	nativeSetEnabled
M	nativeSetEndAction
M	nativeSetFlexGrow
M	nativeSetFocusable
M	nativeSetInt
M	nativeSetLong
M	nativeSetMode
M	nativeSetNode
M	nativeSetNull
M	nativeSetProgress
M	nativeSetProperty
M	nativeSetString
M	nativeSetText
M	nativeSetTextarea
M	nativeSetVisibility
M	nativeShow
M	nativeStart
M	nativeStringValue
M	nativeToString
M	newFixedThreadPool
M	newSingleThreadExecutor
M	nextPoolId
M	nonNull
M	notify
M	notifyDataSetChanged
M	numberToString
M	onAccuracyChanged
M	onActivityResult
M	onBackPressed
M	onBind
M	onCheckedChanged
M	onClick
M	onCreate
M	onDateChanged
M	onDestroy
M	onDismiss
M	onEditorAction
M	onFling
M	onFocusChange
M	onItemClick
M	onItemSelected
M	onKey
M	onLongClick
M	onLongPress
M	onNothingSelected
M	onPause
M	onProgressChanged
M	onReady
M	onRebind
M	onRefresh
M	onRestart
M	onResume
M	onSensorChanged
M	onServiceConnected
M	onServiceDisconnected
M	onSingleTap
M	onStart
M	onStartCommand
M	onStartTrackingTouch
M	onStop
M	onStopTrackingTouch
M	onSwipe
M	onTextChanged
M	onTimeChanged
M	onTouch
M	onUnbind
M	onValueChange
M	open
M	openAdcPin
M	openConnection
M	openGpio
M	openI2cDevice
M	openPwm
M	openSpiDevice
M	openUartDevice
M	opt
M	optBoolean
M	optDouble
M	optInt
M	optJSONArray
M	optJSONObject
M	optLong
M	optString
M	parseUnsignedInt
M	path
M	peakMemory
M	performCheckedChange
M	performClick
M	performItemClick
M	performItemSelected
M	performLongClick
M	performLongClickNative
M	performProgressChange
M	performTrackingTouch
M	pollTouch
M	pow
M	put
M	putBoolean
M	putExtra
M	putFloat
M	putInt
M	putLong
