utc,commit,env,board,app,mode,split,metric,value
2026-04-07T09:15:24Z,81dfce9,sim,testbench_rp2350,syncdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,arraydemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_array_operations_ms,125
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_control_flow_ms,40
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_double_arithmetic_ms,50
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_float_arithmetic_ms,53
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_int_arithmetic_ms,83
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_interface_dispatch_ms,44
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_long_arithmetic_ms,34
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_method_dispatch_ms,58
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_object_allocation_ms,27
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,test_string_operations_ms,27
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,benchmark,none,train,wall_ms,546
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,clinitdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,floatdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,gcstress,none,holdout,passed,1
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,gcstress,none,holdout,wall_us,10137
